Batch_ID,Flour_kg_mean,Flour_kg_min,Flour_kg_median,Flour_kg_num_peaks,Sugar_kg_mean,Sugar_kg_median,Sugar_kg_trend_slope,Sugar_kg_num_valleys,Yeast_kg_min,Yeast_kg_skewness,Yeast_kg_trend_r2,Yeast_kg_trend_pvalue,Yeast_kg_num_valleys,Salt_kg_std,Salt_kg_q75,Salt_kg_iqr,Salt_kg_cv,Salt_kg_trend_pvalue,Water_Temp_C_max,Water_Temp_C_median,Water_Temp_C_skewness,Water_Temp_C_kurtosis,Water_Temp_C_trend_r2,Mixer_Speed_RPM_mean,Mixer_Speed_RPM_median,Mixer_Speed_RPM_skewness,Mixer_Speed_RPM_trend_pvalue,Mixing_Temp_C_min,Mixing_Temp_C_skewness,Oven_Temp_C_mean,Oven_Temp_C_median,Oven_Temp_C_q25,Oven_Humidity_pct_max,Oven_Humidity_pct_range,Water_Temp_C_Mixing_Temp_C_correlation,Water_Temp_C_Oven_Temp_C_diff_mean,Mixing_Temp_C_Oven_Temp_C_diff_mean,Fermentation_Temp_C_Oven_Temp_C_diff_mean,rpm_per_kg_flour,Flour_kg_mean_deviation,Sugar_kg_max_consecutive_oot,Salt_kg_deviation_std,Mixer_Speed_RPM_mean_deviation,Fermentation_Temp_C_max_deviation,Oven_Temp_C_mean_deviation,Oven_Humidity_pct_out_of_tolerance_ratio,Sugar_kg_change_rate_std,Yeast_kg_change_rate_std,Salt_kg_volatility,Mixer_Speed_RPM_mean_change_rate,Final_Weight,Quality_Score
1,9.975822173454544,9.473368631,9.978489761,16,4.968058721418181,4.972894746,-0.0011313663158730165,15,1.812602992,-0.23681454066678842,0.012783825420533785,0.41113533603097885,17,0.04624417677132288,1.049219154,0.06406663099999999,0.04551918488762831,0.4232280395500827,28.03899956,26.35088679,0.08561177632018206,-1.1609362102861807,0.8598612262944758,150.8507583927273,152.8946522,-0.12002838151798935,6.630200138260686e-16,34.83942048,-0.0455886752799876,180.19582119999998,180.2022259,179.47794115,46.70264467,3.565959069999998,0.869757263582852,-153.7708205058182,-142.30493192945457,-143.21037580454544,15.121636670122092,-0.2417782654545468,2,4.624417677132288,0.5671722618181811,1.2565940000000047,0.10878955555555574,0.0,0.028098307418725103,0.03872637667749807,0.04551918488762831,0.011065936194803418,44.99,94.56
2,10.005623963392157,9.500765156,9.963663028,14,4.953046524960785,4.948589518,0.001986730539366521,12,1.78954172,-0.6284137217146356,0.008221951950739194,0.5268635882371593,14,0.05084874796985454,1.031193176,0.08095629149999994,0.05129602222246823,0.26673331059042077,28.06416042,26.56934772,-0.06454801141021109,-0.9475747509015253,0.8078989804674936,151.174593727451,153.5521878,-0.14341078517980582,6.74351188336767e-15,34.68446867,0.07114058952246594,179.9436064941176,179.9174646,179.3010363,47.05645133,3.627871330000005,0.8863375464231661,-153.42736729764707,-142.00758325529412,-143.00303073999999,15.10896214774386,0.05623963392156885,1,5.084874796985454,0.7830624849673209,1.174365945945952,-0.03132972549019684,0.0196078431372549,0.02649715014370092,0.03822815209843711,0.05129602222246823,0.011991573713202905,44.41,94.29
3,9.902018596369567,9.410454476,9.8857990575,15,5.015542155326087,5.0155858030000005,0.0023584735917977174,12,1.760534774,-0.27213182688872645,0.0018804946952479407,0.7747602106147613,11,0.040782100516791826,1.0234066350000002,0.05170022600000013,0.04105823725408469,0.5083072313609562,28.0839731,26.286419279999997,0.1269343445051126,-1.0499305435756343,0.8853379090310772,151.5671863152174,156.0434279,-0.2791019565274879,4.3476279931525995e-12,35.06601533,0.10874247119855301,179.87618892391308,179.77936665,179.32324459999998,46.61260386,4.170884389999998,0.9090584091657405,-153.4884132697826,-142.03947502173912,-142.8754354473913,15.306695785320716,-0.9798140363043466,3,4.078210051679183,1.0447908768115937,1.2158974054054015,-0.06878393115942003,0.021739130434782608,0.036685414702402205,0.041941509773976975,0.04105823725408469,0.013294873777687607,42.51,96.07
4,9.996358930679246,9.382338796,9.994797599,15,5.02889313037736,5.032765023,-0.0007227398159167925,14,1.77747041,-0.11805878820765738,0.0036780031056379524,0.6661899399672304,16,0.042721034539374904,1.025189467,0.0730029379999999,0.04324684693047229,0.8791193499857569,27.85240672,26.41692732,-0.15106281349508632,-1.2140965783153777,0.90736068102053,149.8518897528302,149.8107639,-0.027686791990910745,6.747039633269845e-14,34.49496327,-0.14511444924642855,180.0910713283019,180.1931146,179.508386,47.24089965,4.405036420000002,0.9011202534874048,-153.67377706169813,-142.11430912603774,-143.09136383132073,14.99064717383531,-0.036410693207546946,1,4.27210345393749,-0.09874016477987435,0.9065184864864838,0.05059518238993701,0.03773584905660377,0.028042855143842173,0.043828595916435086,0.04324684693047229,0.011606269812372507,46.59,95.95
5,9.97940586774138,9.447118928,9.9571904355,13,5.0294879705862074,5.0128490175,0.0010271203849395514,17,1.760892143,-0.08447229864071067,0.048322492676328474,0.09731063458167345,18,0.04288311951155929,1.0339050057499999,0.045085685249999896,0.04267394103412913,0.9802486723210146,28.04552851,26.511517135,-0.15171156146055828,-1.076559935604023,0.9148457148316044,149.4459949741379,149.59348089999997,-0.0008956940117922065,5.269341199603401e-15,34.27762958,-0.2153900033902041,180.0866525275862,180.18251105000002,179.34754955,46.79701034,4.127295670000002,0.9350143567517049,-153.612969605,-142.00121318189656,-143.10033936810345,14.975440116853541,-0.2059413225862067,2,4.288311951155929,-0.36933668390804664,1.2125642972972974,0.048140293103448466,0.05172413793103448,0.03381131377523672,0.04284084408283946,0.04267394103412913,0.010797639839165717,45.44,94.36
6,10.057400698888888,9.267056408,10.020005784999999,13,5.014168094629631,5.0276023895,-0.00049998412334667,11,1.749724962,-0.4218707070987568,0.008099183567257709,0.5175220616119928,14,0.04730341415316101,1.022911142,0.05823229600000013,0.047907137592689795,0.44311449413671566,28.32865783,26.47906058,0.14937506558423275,-1.0943481686230103,0.8615381178463739,151.11307014814818,152.74729435,-0.07837139554404814,8.754995989216928e-15,34.98244657,0.14532274592433234,179.87416251111105,179.93013875000003,179.123445925,47.0604227,4.398149839999995,0.9185815013255179,-153.36381073407406,-141.91423156203703,-142.94244054722222,15.025062108228692,0.5740069888888883,1,4.7303414153161,0.7420467654320988,1.3340906756756734,-0.06990971604938179,0.05555555555555555,0.03021279288982793,0.0426014044116175,0.047907137592689795,0.011290344942574727,43.72,88.12
7,10.013289944727273,9.256995533,9.991058865,13,4.997079712781819,4.963653292,0.001010807102092353,15,1.802161508,0.6392238807077317,0.03248575605981739,0.18790806276897845,16,0.05060584866829226,1.028689126,0.06877442249999999,0.05084817724014494,0.30943427335210294,28.10383103,26.23229489,0.11115601673466195,-1.1562601769088385,0.8949123708724489,150.63597707454548,151.8671028,-0.044861118579324795,1.3148771119103118e-13,34.56519085,0.013830492849398517,180.0368760181818,180.0905839,179.50288154999998,46.90200037,4.551436850000002,0.916272437458547,-153.71205093763635,-142.33506949290907,-143.0788983067273,15.043604839772597,0.1328994472727261,1,5.060584866829225,0.42398471636363516,1.21540354054054,0.020486676767676355,0.05454545454545454,0.027161730822381967,0.03643933834322673,0.05084817724014494,0.011692014335240405,45.22,95.5
8,10.012843041166667,9.488679885,9.99607572,16,4.9749451153125,4.943058777999999,0.00019377147150456299,16,1.826565661,-0.008702391199101298,0.02632011765306972,0.2705985317246305,13,0.051247098569220516,1.0491199502500002,0.08347014800000019,0.051296003596626165,0.7343207574860598,28.06145522,26.613241265,0.01621330194420489,-1.0376275649794502,0.8920139799213046,150.5873206541667,150.2904767,-0.07934346276750436,9.762777399459924e-16,35.09744914,0.017560306434142005,180.09874452708334,180.1171385,179.42767329999998,47.05019939,4.33521949,0.9294683574543138,-153.576688501875,-142.14989113666667,-143.11513875416668,15.039416880404898,0.12843041166666716,1,5.124709856922052,0.3915471027777772,1.0732618918918841,0.05485807060185155,0.08333333333333333,0.02855611068334886,0.03803015164840644,0.051296003596626165,0.012226473826023182,48.02,93.93
9,10.06837779526316,9.519065123,10.1102081,16,4.974124807350877,4.967677148,-0.00011315475090744238,18,1.842277036,-0.05189077874303449,0.0278197320515833,0.21495115364965728,16,0.05307334651583593,1.037602319,0.07382893200000007,0.05328484374823118,0.8239681008962747,28.31981513,26.58361405,0.058131298345290974,-0.8021640394257554,0.8751782012183975,150.2566313508772,152.3817235,-0.07247637910058269,1.4574613965256916e-14,33.74621715,-0.21935457305582495,179.96545088070178,180.1190766,179.1244078,47.05738519,4.416063999999999,0.8928888333215613,-153.4543110391228,-142.1677819894737,-143.00300881421052,14.923618720541853,0.6837779526315796,3,5.307334651583592,0.17108756725146143,1.1681957297297252,-0.01919395516569133,0.03508771929824561,0.03231055907558623,0.030054717941986036,0.05328484374823118,0.010266703732751773,45.63,91.44
10,9.988909871660713,9.335719544,10.023128419999999,21,4.983013002821429,4.996687446499999,0.00045013236869446337,17,1.77708741,0.08737884268675057,0.01460909394621543,0.37488889860821606,17,0.05183332498918373,1.04467529375,0.07145813699999992,0.05150679214432439,0.46823496762354755,28.07974238,26.464018275,-0.0830968657291733,-0.9913307645129561,0.8798124224642022,151.05795020535714,152.7007033,-0.12722331628965758,2.1973131385444605e-14,33.91816723,-0.1075517396877342,180.0063944,180.118031,179.3361618,47.13122748,3.8890148999999994,0.9023535695835905,-153.56067427857144,-142.18793388214286,-142.96501073053574,15.122566140467429,-0.1109012833928572,2,5.183332498918372,0.7053001369047617,1.3781275405405402,0.003552444444443803,0.017857142857142856,0.031213123347154353,0.03383158086708553,0.05150679214432439,0.010082737901550252,46.04,89.94
