Batch_ID,Flour_kg_mean,Flour_kg_median,Sugar_kg_median,Sugar_kg_q75,Yeast_kg_iqr,Yeast_kg_skewness,Yeast_kg_kurtosis,Yeast_kg_trend_r2,Yeast_kg_trend_pvalue,Salt_kg_std,Salt_kg_max,Salt_kg_cv,Salt_kg_num_valleys,Mixer_Speed_RPM_mean,Mixer_Speed_RPM_skewness,Mixer_Speed_RPM_kurtosis,Mixing_Temp_C_num_valleys,Fermentation_Temp_C_std,Fermentation_Temp_C_iqr,Fermentation_Temp_C_cv,Fermentation_Temp_C_trend_r2,Oven_Temp_C_mean,Oven_Temp_C_min,Oven_Temp_C_num_valleys,Oven_Humidity_pct_trend_r2,Oven_Humidity_pct_trend_pvalue,Oven_Humidity_pct_num_peaks,Water_Temp_C_Fermentation_Temp_C_diff_std,Mixing_Temp_C_Fermentation_Temp_C_correlation,Mixing_Temp_C_Oven_Temp_C_diff_mean,Fermentation_Temp_C_Oven_Temp_C_diff_mean,rpm_per_kg_flour,Flour_kg_mean_deviation,Salt_kg_deviation_std,Salt_kg_out_of_tolerance_ratio,Salt_kg_max_consecutive_oot,Mixer_Speed_RPM_mean_deviation,Fermentation_Temp_C_deviation_std,Fermentation_Temp_C_max_deviation,Oven_Temp_C_mean_deviation,Oven_Temp_C_max_deviation,Oven_Temp_C_max_consecutive_oot,Salt_kg_stability,Salt_kg_volatility,Mixer_Speed_RPM_stability,Fermentation_Temp_C_stability,Fermentation_Temp_C_mean_change_rate,Fermentation_Temp_C_volatility,Oven_Humidity_pct_stability,Oven_Humidity_pct_mean_change_rate,Final_Weight,Quality_Score
1,9.986986751132074,9.989876313,4.96400866,5.073420371,0.113742448,-0.2923401041346656,-0.4139220903935037,0.0281838609148639,0.22952030811165153,0.04581234667457164,1.090379516,0.04510097756127474,13,149.7454228415094,-0.03175669596355118,-1.6087418264547702,9,0.1688658527735481,0.22437887999999617,0.0045641025095890025,0.0017292230791663892,180.0887647716981,177.8749051,16,0.001431007720782092,0.7879865118806304,17,0.8403685322627656,-0.08157275152225296,-142.06027452415097,-143.09006625018867,14.994054420322028,-0.13013248867924668,4.581234667457164,0.09433962264150944,1,-0.16971810566037768,0.45639419668526515,1.2565940000000047,0.04931376205450769,1.4654898888888903,1,0.9596645725628746,0.04510097756127474,0.3204347462774703,0.8599022306677724,0.005806833856042952,0.0045641025095890025,0.49998713380762944,0.029162723602921166,44.53,95.78
2,10.022679354584906,9.968836931,4.951537933,5.110203412,0.1030888670000003,-0.5258631555511035,-0.5892872091514803,0.0059341325512178526,0.5835174235653271,0.050379487112584866,1.074045343,0.050820573347738894,15,150.53659754339623,-0.04845749065962048,-1.6135871141914464,10,0.16937231309908252,0.20931424000000476,0.004583585028881308,0.007769110995572002,179.8957916660377,177.7547702,14,0.004101471624538419,0.6486857308147254,17,0.8872434066825153,-0.10402712931035127,-141.95771031471696,-142.94386167415092,15.019596279365437,0.22679354584905687,5.037948711258487,0.07547169811320754,1,0.3577316955974853,0.4577630083758986,1.174365945945952,-0.057893518867925355,1.2473498888888912,1,0.9552306285523683,0.050820573347738894,0.3032024419548787,0.8682009729019676,0.004610681645056715,0.004583585028881308,0.5027120444787049,0.028221259075677494,45.1,91.32
3,9.924129559541667,9.920122585000001,5.037904316500001,5.1462113625,0.14147671849999988,-0.1734791863966318,-0.34808609021580983,0.005296805908747241,0.6230090397810173,0.04387071738591274,1.107956058,0.043928344323165475,15,152.17278162916668,-0.3310235195995885,-1.4451790006849075,9,0.1592604486542399,0.2230487499999967,0.004304736716217367,0.0005156465966480499,179.82295953958337,177.4946963,14,0.06122442450731094,0.08996628042160341,14,0.9037180428484686,0.024467088951779938,-142.0773360325,-142.82639989999998,15.333614975114711,-0.758704404583332,4.387071738591275,0.0625,1,1.44852108611111,0.43043364501145925,1.0674598918918827,-0.09835581134259243,1.3918353888888961,2,0.9577969328573491,0.043928344323165475,0.28544326069102044,0.8740182030761061,0.004797191726723842,0.004304736716217367,0.5405965220512808,0.022581999697703636,45.69,93.04
4,9.99227706614815,9.991177301,5.0348664880000005,5.1667999655,0.14333380799999995,-0.12403023591314331,-0.7017595036366715,0.0007004297045148833,0.8493369938526389,0.04281898377690695,1.064421681,0.04325462009593607,18,150.70222369814815,-0.12685003820742216,-1.4856071092008527,11,0.15188921467137564,0.1710567800000078,0.004104882396847763,0.10309761509079392,180.03285646851856,177.399425,14,0.13036814453040954,0.0073109226733860605,15,0.8197189577349836,0.2834701975110226,-142.1367026175926,-143.03076968814815,15.081869998250685,-0.07722933851851846,4.2818983776906965,0.018518518518518517,1,0.46814913209876513,0.4105113910037179,0.9065184864864838,0.018253593621399264,1.4447638888888845,1,0.9592257897971084,0.04325462009593607,0.2970933698761651,0.8781055606663812,0.004212451967482024,0.004104882396847763,0.5445336150775039,0.02229336844465486,46.52,92.05
5,9.98116932208772,9.962884849,4.995166359,5.160248891,0.1389635560000002,0.02221471115375252,-0.7603825102018837,0.038545226137316986,0.14327506662602396,0.042854692509468426,1.099717247,0.042678482389540986,16,149.77455097368417,-0.030612610080852667,-1.5393094303924404,9,0.19198613653791946,0.2615803600000035,0.005190105209610956,3.538118966319625e-05,180.0557540280702,178.1143421,17,0.02990629437037508,0.19829736642650017,18,0.9476424732639026,-0.013297155879646645,-141.99519769649123,-143.06495542491228,15.005711870075405,-0.18830677912280686,4.285469250946843,0.10526315789473684,1,-0.15029935087719357,0.5188814501024851,1.2125642972972974,0.03097446003898649,1.2890101111111107,1,0.9596043141189282,0.042678482389540986,0.3092955929024884,0.8459623781196147,0.006511494784717159,0.005190105209610956,0.4898952049647697,0.029231668637869974,44.55,99.06
6,10.039232353051723,10.01566912,5.0276023895,5.135902858750001,0.12292785699999986,-0.40848734058329955,0.07248533719932482,5.50860138323277e-05,0.9559038407898683,0.04622623105329949,1.076995757,0.04687379967537489,17,151.05492458448276,-0.07677171418604424,-1.5095671856081334,12,0.1795064654884343,0.27494302000000914,0.004859555588682702,0.0052491346594893675,179.9002209,177.5418306,15,0.03348125297520438,0.1691845086371344,17,0.9194557209327311,0.0710655040818863,-142.0109171225862,-142.96135638603448,15.046461648889432,0.39232353051724106,4.622623105329948,0.08620689655172414,2,0.7032830563218385,0.48515260942820077,1.3340906756756734,-0.05543283333333277,1.3656496666666682,1,0.9594508684501255,0.04687379967537489,0.3169584797853551,0.8495470841276722,0.005973994964713366,0.004859555588682702,0.48478143603441953,0.029720821993594677,45.16,92.46
7,10.037685746169812,10.02549189,4.963653292,5.112288892,0.11515263899999995,0.7126549668749149,0.2950399553672076,0.0296290875311181,0.21777158348964595,0.04887150540803438,1.095114157,0.049145171034755325,15,150.4048922,-0.01101615500260963,-1.5819647377489674,8,0.16821051375984156,0.22465349000000145,0.004552073034577558,0.00035911604164598796,180.0471771528302,178.4240803,17,0.0007244318971509059,0.8482840217057415,19,0.9778869277446921,-0.033182900399711106,-142.29583709584904,-143.09466947509435,14.984020819479392,0.376857461698112,4.887150540803439,0.07547169811320754,2,0.26992813333333193,0.45462301016173395,1.21540354054054,0.026209529350104295,0.879805888888888,0,0.9551449663469055,0.049145171034755325,0.3082889402105658,0.8607521931313048,0.004949928890148447,0.004552073034577558,0.5110280066217247,0.029077815177687295,43.67,90.32
8,10.006243622260001,9.987928381,4.943058777999999,5.111207495,0.1293105634999998,-0.3688174282561691,0.18613289932542143,0.052274933024305095,0.11025406139206896,0.051412188351735985,1.088672367,0.05155015914730485,16,150.347425938,-0.054660983044221984,-1.6466993876295497,8,0.1594238289809101,0.217715237500002,0.004310462091855457,0.019591423879860605,180.061417454,177.5010025,13,0.024086109063734183,0.28184274170673745,13,0.9530857763238476,-0.1322121005341862,-142.09770384019998,-143.0760953276,15.025361325756194,0.06243622260000059,5.141218835173599,0.08,1,0.23161729199999953,0.4308752134619192,1.0732618918918841,0.03412080777777773,1.3883319444444453,1,0.9549384709171158,0.05155015914730485,0.292391794537599,0.8654940651196009,0.005372252819328383,0.004310462091855457,0.4959822903961333,0.02953647670551419,44.87,96.83
9,10.05944530642857,10.102929660000001,4.9727527160000005,5.1128786175,0.08554283375000016,-0.05802743381407417,0.13910166177506067,0.02936193350620726,0.20668531703901855,0.05238233159306188,1.108625279,0.0526683944388103,15,149.92881158392856,-0.04471239432780498,-1.5088358286906491,10,0.1829265952089333,0.26156243500000187,0.0049496665492907935,0.01498673124050919,180.00090636785717,177.7643482,14,0.012959985650633239,0.40348047098803763,15,0.8495034278710732,0.10599752995240697,-142.17756939375,-143.04354906160714,14.904282196167948,0.5944530642857148,5.238233159306189,0.10714285714285714,1,-0.04745894404761941,0.49439620326738737,1.1681957297297252,0.0005035376984132621,1.4085996666666745,1,0.9520549433400575,0.0526683944388103,0.3115074513014839,0.852066869047507,0.005665232181017375,0.0049496665492907935,0.5290952176287447,0.021388065864455928,44.42,93.91
10,9.993984251388888,10.023128419999999,5.0038654395,5.09181033,0.11589937274999995,0.07324914583575241,0.2817688272941812,0.004514313996206298,0.6292895959122513,0.05157990200637891,1.101065807,0.051411537422412786,13,150.50513573703705,-0.06626465756594722,-1.6008711849952082,10,0.18899107667650814,0.2516227500000028,0.0051047210730771776,0.0625085487131235,180.05142040925932,177.4217071,17,0.00292343739363349,0.6977863203250925,18,0.8482615281491631,0.2213902815754874,-142.22100753833334,-143.02861858111112,15.059573034260184,-0.060157486111111304,5.157990200637891,0.14814814814814814,2,0.3367571580246913,0.5107866937202923,1.1103219459459441,0.02856689403292088,1.432384944444449,1,0.9527335007148747,0.051411537422412786,0.31412660367104117,0.8589978133869546,0.005213036947114524,0.0051047210730771776,0.5445472723651207,0.022404719941128096,44.48,91.68
