Batch_ID,Time,Flour (kg),Sugar (kg),Yeast (kg),Water Temp (C),Salt (kg),Mixer Speed (RPM),Mixing Temp (C),Fermentation Temp (C),Oven Temp (C),Oven Humidity (%)
1,0,10.243888,5.183667,2.107786,25.126841,0.994492,152.199339,35.661739,36.958736,181.363225,45.163213
1,1,10.006495,5.24876,1.970628,24.974303,1.040257,152.321567,35.346833,37.160511,178.755047,44.956694
1,2,9.957822,5.090573,2.179253,24.584785,0.969236,153.808008,35.48568,36.889779,179.475482,45.528249
1,3,10.427535,4.72955,1.882985,24.852465,1.032023,156.879187,35.640277,37.038635,179.056322,45.419092
1,4,10.5423,4.746763,1.974862,25.048233,0.948941,158.172312,36.23535,36.961042,180.524425,44.47037
1,5,10.315277,4.846957,2.053308,25.412977,0.985244,160.201787,35.740095,36.812957,182.65658,46.963734
1,6,10.171304,4.963407,2.013219,24.4433,1.021884,162.774638,34.76162,37.11788,181.486534,44.46656
1,7,10.144163,4.628377,1.993662,24.952538,1.023397,163.835535,35.784665,36.620574,179.944786,44.810651
1,8,10.103865,5.3532,2.075117,25.138473,1.069581,163.361569,36.161692,36.64383,181.358282,46.179759
1,9,9.892322,4.580705,2.076126,24.970115,1.035915,167.663555,35.399362,37.177691,181.738247,44.311851
1,10,9.772361,4.884972,2.069232,25.4535,0.949765,166.20526,35.752274,37.437338,180.612305,45.426086
1,11,10.36454,4.838018,2.122238,25.066359,1.005568,168.910611,36.998729,36.989418,179.951199,44.517368
1,12,10.154564,4.927809,1.946952,25.868128,1.130859,168.435275,36.582117,37.143593,178.87815,46.021232
1,13,10.150565,5.293742,2.085717,25.670276,1.114796,169.615805,36.439021,37.369005,179.02682,46.042007
1,14,10.14131,4.976575,1.961646,25.82451,1.018262,171.729334,37.249384,36.823698,181.87837,46.401579
1,15,10.386511,4.870992,2.098714,26.119155,1.033349,169.725242,36.17144,37.015548,179.312415,45.996356
1,16,10.467256,5.688341,2.070357,25.491299,0.954651,172.869878,36.156206,36.621835,179.985259,46.481027
1,17,9.886863,5.268297,1.999669,26.227997,1.063378,168.757833,36.431995,37.083243,180.314359,44.832149
1,18,10.151184,5.00286,2.149135,25.803445,1.01885,169.705723,37.204936,37.071331,179.795935,44.868984
1,19,10.029343,4.938428,2.013134,25.446068,1.025366,169.461703,36.692117,36.983308,178.462287,47.141559
1,20,10.592907,4.882896,1.942679,25.614475,0.906381,167.867212,36.661101,36.966377,178.958359,46.124234
